username,team,games_played,total_eliminations,total_deaths,total_assists,total_damage,total_plants,total_defuses,avg_eliminations,avg_deaths,avg_assists,avg_damage,kd_ratio,victories,defeats,win_rate,first_seen,last_seen
MILKMANPM,DEF,2,15,15,13,3450,3,1,7.5,7.5,6.5,1725.0,1.0,2,0,100.0,2025-08-13T11:39:59.925988,2025-08-13T11:40:54.641653
REIGNLAEHTO,DEF,2,14,14,7,2651,7,0,7.0,7.0,3.5,1325.5,1.0,2,0,100.0,2025-08-13T11:39:59.925988,2025-08-13T11:40:54.641653
TWITCHE,DEF,1,9,9,2,1664,1,0,9.0,9.0,2.0,1664.0,1.0,1,0,100.0,2025-08-13T11:41:26.731141,2025-08-13T11:41:26.731141
cautiony,ATK,1,7,7,4,1257,0,1,7.0,7.0,4.0,1257.0,1.0,1,0,100.0,2025-08-13T11:41:26.731141,2025-08-13T11:41:26.731141
BIONICFORCA GVG,ATK,1,8,8,5,1736,0,0,8.0,8.0,5.0,1736.0,1.0,1,0,100.0,2025-08-13T11:42:28.887068,2025-08-13T11:42:28.887068
NAUSEOUSFN,ATK,1,8,8,6,1496,0,0,8.0,8.0,6.0,1496.0,1.0,1,0,100.0,2025-08-13T11:42:28.887068,2025-08-13T11:42:28.887068
TRIUMPHETERNAL,ATK,1,11,11,5,2133,1,1,11.0,11.0,5.0,2133.0,1.0,1,0,100.0,2025-08-13T11:42:41.765197,2025-08-13T11:42:41.765197
TTVHEARTMADDI,ATK,5,42,45,38,10966,0,1,8.4,9.0,7.6,2193.2,0.93,5,0,100.0,2025-08-13T11:40:13.776462,2025-08-13T11:42:16.961939
ATR BTAPジ,DEF,1,10,11,6,1768,0,0,10.0,11.0,6.0,1768.0,0.91,1,0,100.0,2025-08-13T11:42:28.887068,2025-08-13T11:42:28.887068
RaVyN,ATK,4,37,41,22,7882,0,0,9.25,10.25,5.5,1970.5,0.9,4,0,100.0,2025-08-13T11:40:13.776462,2025-08-13T11:42:16.961939
TwitchITZENDLESS,DEF,1,9,10,7,1646,0,0,9.0,10.0,7.0,1646.0,0.9,1,0,100.0,2025-08-13T11:42:28.887068,2025-08-13T11:42:28.887068
ANONYMOUS[257],ATK,1,8,9,3,1493,0,0,8.0,9.0,3.0,1493.0,0.89,1,0,100.0,2025-08-13T11:40:54.641653,2025-08-13T11:40:54.641653
H_P_T_tv,ATK,1,8,9,5,2133,0,1,8.0,9.0,5.0,2133.0,0.89,1,0,100.0,2025-08-13T11:42:41.765197,2025-08-13T11:42:41.765197
Loot Vacuum XOツ,ATK,3,25,30,22,5656,0,1,8.33,10.0,7.33,1885.33,0.83,3,0,100.0,2025-08-13T11:40:40.930735,2025-08-13T11:42:16.961939
C47DNNN,DEF,1,5,6,13,1284,1,1,5.0,6.0,13.0,1284.0,0.83,1,0,100.0,2025-08-13T11:42:41.765197,2025-08-13T11:42:41.765197
TTVGIZMO_WA,ATK,1,4,5,2,425,0,0,4.0,5.0,2.0,425.0,0.8,1,0,100.0,2025-08-13T11:41:42.057576,2025-08-13T11:41:42.057576
BARNACLE BOY,ATK,1,7,9,1,1226,2,0,7.0,9.0,1.0,1226.0,0.78,1,0,100.0,2025-08-13T11:41:26.731141,2025-08-13T11:41:26.731141
MAKEITPUCKER,ATK,1,7,9,4,1211,3,0,7.0,9.0,4.0,1211.0,0.78,1,0,100.0,2025-08-13T11:42:28.887068,2025-08-13T11:42:28.887068
F4TALITY SLAAYHG,ATK,1,6,8,6,1607,0,0,6.0,8.0,6.0,1607.0,0.75,1,0,100.0,2025-08-13T11:40:13.776462,2025-08-13T11:40:13.776462
KTK_JVK3FARMTV,DEF,1,6,8,1,967,1,0,6.0,8.0,1.0,967.0,0.75,1,0,100.0,2025-08-13T11:40:54.641653,2025-08-13T11:40:54.641653
NVF INVXDE,DEF,1,6,8,6,1046,1,0,6.0,8.0,6.0,1046.0,0.75,1,0,100.0,2025-08-13T11:42:04.262295,2025-08-13T11:42:04.262295
◆NT,DEF,1,6,8,0,1146,0,0,6.0,8.0,0.0,1146.0,0.75,1,0,100.0,2025-08-13T11:42:04.262295,2025-08-13T11:42:04.262295
BLUEJ,ATK,1,5,7,5,1115,0,0,5.0,7.0,5.0,1115.0,0.71,1,0,100.0,2025-08-13T11:41:42.057576,2025-08-13T11:41:42.057576
PAPIPAVV,ATK,1,5,7,3,1497,2,0,5.0,7.0,3.0,1497.0,0.71,1,0,100.0,2025-08-13T11:42:28.887068,2025-08-13T11:42:28.887068
*STAN,DEF,4,30,45,44,11274,4,0,7.5,11.25,11.0,2818.5,0.67,4,0,100.0,2025-08-13T11:40:13.776462,2025-08-13T11:42:16.961939
DARKTRXPP,DEF,1,6,9,4,1334,0,0,6.0,9.0,4.0,1334.0,0.67,1,0,100.0,2025-08-13T11:42:04.262295,2025-08-13T11:42:04.262295
CRIDGE私,DEF,1,7,11,13,2061,0,0,7.0,11.0,13.0,2061.0,0.64,1,0,100.0,2025-08-13T11:39:59.925988,2025-08-13T11:39:59.925988
DUELIST,ATK,1,7,11,6,2491,0,1,7.0,11.0,6.0,2491.0,0.64,1,0,100.0,2025-08-13T11:39:59.925988,2025-08-13T11:39:59.925988
FREEMAN,ATK,1,7,11,6,1711,3,0,7.0,11.0,6.0,1711.0,0.64,1,0,100.0,2025-08-13T11:39:59.925988,2025-08-13T11:39:59.925988
RYNZO,DEF,1,7,11,5,1627,0,0,7.0,11.0,5.0,1627.0,0.64,1,0,100.0,2025-08-13T11:42:41.765197,2025-08-13T11:42:41.765197
JUICETANK,DEF,1,5,8,5,1010,0,0,5.0,8.0,5.0,1010.0,0.62,1,0,100.0,2025-08-13T11:40:28.729596,2025-08-13T11:40:28.729596
TRIPPYPRODIGYTTV,DEF,1,5,8,1,1209,0,1,5.0,8.0,1.0,1209.0,0.62,1,0,100.0,2025-08-13T11:40:28.729596,2025-08-13T11:40:28.729596
AEROS.ッ,ATK,3,16,26,15,3310,7,0,5.33,8.67,5.0,1103.33,0.62,3,0,100.0,2025-08-13T11:40:40.930735,2025-08-13T11:42:16.961939
HYPHIN12,ATK,1,3,5,4,1011,0,0,3.0,5.0,4.0,1011.0,0.6,1,0,100.0,2025-08-13T11:41:26.731141,2025-08-13T11:41:26.731141
BUBBA_445,ATK,1,3,5,4,671,0,1,3.0,5.0,4.0,671.0,0.6,1,0,100.0,2025-08-13T11:41:42.057576,2025-08-13T11:41:42.057576
GVG TRIPZGAMING,DEF,1,4,7,9,1246,1,0,4.0,7.0,9.0,1246.0,0.57,1,0,100.0,2025-08-13T11:41:42.057576,2025-08-13T11:41:42.057576
VARGAS_TTV,ATK,1,4,7,2,925,0,0,4.0,7.0,2.0,925.0,0.57,1,0,100.0,2025-08-13T11:41:42.057576,2025-08-13T11:41:42.057576
TOSH,ATK,1,4,7,4,932,0,0,4.0,7.0,4.0,932.0,0.57,1,0,100.0,2025-08-13T11:42:28.887068,2025-08-13T11:42:28.887068
cautions egirl,DEF,1,5,9,4,1388,0,0,5.0,9.0,4.0,1388.0,0.56,1,0,100.0,2025-08-13T11:40:28.729596,2025-08-13T11:40:28.729596
ANONYMOUS[265],ATK,1,4,8,3,1742,0,1,4.0,8.0,3.0,1742.0,0.5,1,0,100.0,2025-08-13T11:40:54.641653,2025-08-13T11:40:54.641653
YA GIRL CADDY ッ,ATK,1,5,11,5,988,2,0,5.0,11.0,5.0,988.0,0.45,1,0,100.0,2025-08-13T11:40:13.776462,2025-08-13T11:40:13.776462
MERMAIDMAN.Z,ATK,1,5,11,3,1447,0,0,5.0,11.0,3.0,1447.0,0.45,1,0,100.0,2025-08-13T11:41:26.731141,2025-08-13T11:41:26.731141
TWITCH SKELETO_S,DEF,1,4,9,2,815,0,0,4.0,9.0,2.0,815.0,0.44,1,0,100.0,2025-08-13T11:42:04.262295,2025-08-13T11:42:04.262295
BOMBERNOAH9997,DEF,1,3,8,4,1406,0,0,3.0,8.0,4.0,1406.0,0.38,1,0,100.0,2025-08-13T11:40:28.729596,2025-08-13T11:40:28.729596
KTKZNIPENASTYtv,DEF,1,3,9,3,954,0,0,3.0,9.0,3.0,954.0,0.33,1,0,100.0,2025-08-13T11:40:54.641653,2025-08-13T11:40:54.641653
NORTHKTK,DEF,1,3,9,0,591,0,1,3.0,9.0,0.0,591.0,0.33,1,0,100.0,2025-08-13T11:40:54.641653,2025-08-13T11:40:54.641653
TRULYCTRYKAYTV,ATK,1,3,9,3,1048,1,1,3.0,9.0,3.0,1048.0,0.33,1,0,100.0,2025-08-13T11:42:28.887068,2025-08-13T11:42:28.887068
COOKGOTME,ATK,1,2,7,1,355,3,0,2.0,7.0,1.0,355.0,0.29,1,0,100.0,2025-08-13T11:41:42.057576,2025-08-13T11:41:42.057576
JAY.,DEF,1,2,8,7,1221,0,1,2.0,8.0,7.0,1221.0,0.25,1,0,100.0,2025-08-13T11:42:04.262295,2025-08-13T11:42:04.262295
GIAMPAGS-,DEF,1,2,10,1,384,3,0,2.0,10.0,1.0,384.0,0.2,1,0,100.0,2025-08-13T11:42:41.765197,2025-08-13T11:42:41.765197
